<0.0001	He	Li	C	C_13	N	N_15	O	O_17	O_18	F	Na	Mg	Al	Si	S	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	rem
1.5	0.0466460000000	0.0000000001190	0.0117100000000	0.0000008999600	0.0000405730000	0.0000000229490	0.0002750300000	0.0000003242800	-0.0000000282050	0.0000012556000	0.0000044785000	0.0000025319000	0.0000000296570	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.6610000000000
1.8	0.0879190000000	0.0000000000970	0.0233880000000	0.0000011751000	0.0000543260000	0.0000000300150	0.0004287000000	0.0000008234500	-0.0000000487040	0.0000048298000	0.0000361170000	0.0000186800000	0.0000000957930	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.6640000000000
1.9	0.1068900000000	0.0000000000660	0.0296900000000	0.0000014216000	0.0000639210000	0.0000000140690	0.0004715500000	0.0000008457700	-0.0000000584500	0.0000078963000	0.0000674980000	0.0000404050000	0.0000002308100	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.6810000000000
2.1	0.1414000000000	-0.0000000000240	0.0410710000000	0.0000016379000	0.0000717040000	0.0000000000000	0.0005569700000	0.0000006961500	-0.0000000689870	0.0000142140000	0.0001285900000	0.0001511900000	0.0000010512000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.6962000000000
2.3	0.1578900000000	-0.0000000000620	0.0485150000000	0.0000017866000	0.0000722410000	0.0000000000000	0.0006247300000	0.0000003640700	-0.0000000690090	0.0000186700000	0.0001624100000	0.0002252800000	0.0000019135000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.7130000000000
2.5	0.1274900000000	-0.0000000000600	0.0420720000000	0.0000112100000	0.0000383770000	0.0000000000000	0.0005796200000	0.0000005226200	-0.0000000819620	0.0000106050000	0.0000571950000	0.0003141000000	0.0000032749000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.7320000000000
3.0	0.0764850000000	0.0000000611570	0.0235960000000	0.0004402900000	0.0000810230000	0.0000000000000	0.0004140600000	0.0000012847000	-0.0000001476800	0.0000017349000	0.0000147510000	0.0001433600000	0.0000016323000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.8130000000000
3.5	0.1269100000000	0.0000000061530	0.0059670000000	0.0004061200000	0.0198210000000	0.0000003128900	0.0005149100000	0.0000008054300	-0.0000002773600	0.0000004126700	0.0000174650000	0.0001335400000	0.0000020024000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.8540000000000
4.0	0.2033700000000	0.0000000016100	0.0050000000000	0.0004252800000	0.0264480000000	0.0000004838200	0.0006484300000	0.0000011860000	-0.0000003342300	0.0000004633700	0.0000194670000	0.0001750400000	0.0000026807000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.8740000000000
4.5	0.2648700000000	0.0000000013290	0.0034416000000	0.0003519000000	0.0224790000000	0.0000004583800	0.0004746300000	0.0000012008000	-0.0000003861800	0.0000002022500	0.0000122750000	0.0001161900000	0.0000019696000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.8970000000000
5.0	0.3419900000000	0.0000000007230	0.0026457000000	0.0003849400000	0.0228880000000	0.0000005867600	0.0003816700000	0.0000014066000	-0.0000004386600	0.0000000649960	0.0000104690000	0.0001297000000	0.0000026228000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.9290000000000
5.5	0.4228600000000	0.0000000000680	0.0025914000000	0.0004177000000	0.0284260000000	0.0000008694100	0.0003699300000	0.0000019258000	-0.0000004891600	0.0000000394820	0.0000126560000	0.0002315100000	0.0000066348000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.9660000000000
6.0	0.5181700000000	-0.0000000001040	0.0018626000000	0.0003893300000	0.0337970000000	0.0000021831000	0.0006352700000	0.0000030072000	-0.0000005386500	0.0000000090310	0.0000125760000	0.0003451200000	0.0000176990000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	1.0080000000000
6.5	0.5991000000000	-0.0000000056380	0.0044720000000	0.0004070000000	0.0268300000000	0.0000002843000	-0.0017190000000	0.0000029660000	-0.0000057930000	-0.0000000666700	-0.0000042140000	0.0003127300000	0.0000337200000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	1.0700000000000
7.0	0.6148000000000	-0.0000000059280	0.0026830000000	0.0003179000000	0.0146000000000	0.0000001101000	-0.0019520000000	0.0000039630000	-0.0000062470000	-0.0000001226000	-0.0000083650000	0.0001419600000	0.0000209900000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	1.1400000000000
7.5	0.6626000000000	0.0000000436400	0.0030030000000	0.0003770000000	0.0185800000000	0.0000014570000	0.0002291000000	0.0000197300000	-0.0000066800000	-0.0000001529000	0.0000003327000	0.0002069900000	0.0000117400000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	1.2100000000000
8.0	0.6626000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	1.3100000000000
8.5	0.6626000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	1.3100000000000
9.0	0.6626000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	1.3100000000000
13.0	3.8551000000000	0.0000000006340	0.1072200000000	0.0001673500000	0.0090697000000	0.0000075675000	0.5044300000000	0.0000696360000	0.0018065000000	0.0000030710000	0.0005412200000	0.0658440000000	0.0035675000000	0.0931710000000	0.0381380000000	0.0000275020000	0.0047611000000	0.0000002521200	0.0001077700000	0.0000089649000	0.0013014000000	0.0002270300000	0.0755830000000	0.0000891240000	0.0022981000000	0.0000129030000	0.0000895700000	1.6500000000000
15.0	5.1590000000000	0.0000000000000	0.0849610000000	0.0000537800000	0.0035754000000	0.0000008592100	0.2936400000000	0.0000255660000	0.0003662500000	0.0000001976600	0.0019555000000	0.0657230000000	0.0023484000000	0.0436720000000	0.0166790000000	0.0000044612000	0.0017469000000	0.0000000508270	0.0000791310000	0.0000161580000	0.0003452100000	0.0000800530000	0.0732540000000	0.0002315700000	0.0037385000000	0.0000063540000	0.0000696560000	1.5300000000000
